,Name,Label,count,X_UnCal_mean,X_UnCal_std,X_UnCal_min,X_UnCal_25%,X_UnCal_50%,X_UnCal_75%,X_UnCal_max,Y_UnCal_mean,Y_UnCal_std,Y_UnCal_min,Y_UnCal_25%,Y_UnCal_50%,Y_UnCal_75%,Y_UnCal_max,Z_UnCal_mean,Z_UnCal_std,Z_UnCal_min,Z_UnCal_25%,Z_UnCal_50%,Z_UnCal_75%,Z_UnCal_max,Intensity_mean,Intensity_std,Intensity_min,Intensity_25%,Intensity_50%,Intensity_75%,Intensity_max,X_Bias,Y_Bias,Z_Bias,Bias_Intensity,Accuracy,fourier_mean,fourier_std,fourier_min,fourier_25%,fourier_50%,fourier_75%,fourier_max
0,milenkosKitchenNotNearDevices1_0,5,1000.0,2.357405967656,1.5114249463507716,-9.7355995,1.6592,2.3302,3.1354,6.5758,38.280061571,0.42830660753396027,35.6484,38.0396,38.2836,38.53065,39.8452,-73.420941203,0.8025791244331869,-77.836,-73.84964575000001,-73.4012975,-72.895,-71.1504,82.85058402667852,0.6671796321323546,80.99289555822736,82.424597667851,82.81187419297554,83.22752885507691,86.53938148357659,0.0,0.0,0.0,0.0,1,3.672797787250541,23.511984441725716,0.22997601411223012,0.28917220689879247,0.3365152518070862,0.38705233656053434,166.6015711837901
1,milenkosKitchenNotNearDevices1_1,5,1000.0,2.474379565188,1.191356247327144,-3.2574,1.71715,2.3302,3.2086,6.0024,38.237825163000004,0.38146185219455414,36.770798,37.9908,38.2226,38.478798,39.5158,-73.352084307,0.675445763316914,-75.518,-73.7612,-73.382996,-72.91634524999999,-71.1504,82.76750498492082,0.584472883671575,80.99322726608392,82.3814952792641,82.77137045678538,83.13807130396165,84.96006684060458,0.0,0.0,0.0,0.0,1,3.628407059614379,23.427047355474567,0.20820223233575513,0.2672318924347433,0.31371778339572054,0.3600472691322778,165.96901818862742
2,milenkosKitchenNotNearDevices1_2,5,1000.0,2.5473111627629996,1.1685472122483245,-1.7689999,1.7567999,2.4278,3.2574,5.7827997,38.215060001000005,0.37477593919268953,36.8806,37.9542,38.2043,38.4666,39.3572,-73.350717859,0.6771502400114112,-75.5058,-73.7734,-73.3586,-72.919395,-71.248,82.75767714984681,0.5806487170423904,81.13183181390643,82.36621200796355,82.77047947050494,83.1353965818893,84.49925650110774,0.0,0.0,0.0,0.0,1,3.631469220118508,23.42110539947514,0.20147876361339315,0.2731103530846756,0.31556852742243646,0.36069206197704706,165.93093186826545
3,milenkosKitchenNotNearDevices1_3,5,1000.0,2.6284655604689995,1.1130825066478953,-0.26839998,1.8147499,2.5132,3.29705,5.5998,38.214815994999995,0.3604566240129949,37.027,37.9786,38.2104,38.4544,39.3572,-73.367968711,0.6712886113224251,-75.713196,-73.80085,-73.3708,-72.907196,-71.248,82.77454381352433,0.576840753411458,80.96704430818998,82.39206185395625,82.77297532818096,83.17318468177835,84.83128820296446,0.0,0.0,0.0,0.0,1,3.6253590507271896,23.398791798512427,0.21422616211406803,0.28928340985452666,0.308534032695291,0.32729321401580735,165.77019207334763
4,milenkosKitchenNotNearDevices1_4,5,1000.0,2.6474975586359997,1.1126910999101483,-0.305,1.8635499,2.5498,3.3672,5.7096,38.205141372,0.37099920014499166,37.161198,37.9664,38.2104,38.45745,39.649998,-73.341836362,0.6709840227621283,-75.713196,-73.7856,-73.3281,-72.8828,-71.3212,82.74755859497385,0.5770845982661399,80.96704430818998,82.36127991175536,82.72736156168767,83.11943827380985,84.87616896245741,0.0,0.0,0.0,0.0,1,3.622533159992673,23.401501071416952,0.19714739925345784,0.2804646867672155,0.30669247061063476,0.33484535533175386,165.78611964843037
5,milenkosKitchenNotNearDevices1_5,5,1000.0,2.61430135943,1.1973459701858513,-5.124,1.8421999,2.501,3.3672,5.7096,38.195747344999994,0.38113874833185835,36.8196,37.9298,38.1982,38.4666,39.649998,-73.361234367,0.709452835584625,-76.201195,-73.77645,-73.3647,-72.895,-70.9674,82.76070284909491,0.6057811500729294,81.04037080143951,82.36127991175536,82.73942947085013,83.09743599633309,84.95689675123498,0.0,0.0,0.0,0.0,1,3.6408166312867003,23.40575129835981,0.23303092961372315,0.2832386361218573,0.3234785073979912,0.3587937863476169,165.83374644338517
6,milenkosKitchenNotNearDevices1_6,5,1000.0,2.545176161444,1.2031032352536761,-5.124,1.7811999,2.4156,3.2818,6.0512,38.174446146,0.3788170268795217,36.612198,37.9176,38.167699,38.43305,39.528,-73.42627260299999,0.7468754988406469,-79.141396,-73.837449,-73.4196,-72.9682,-70.943,82.80654784947608,0.6375282534623962,80.8647088298281,82.38131098972923,82.78060439166961,83.15738589405709,87.48209445840227,0.0,0.0,0.0,0.0,1,3.665305328855212,23.41966519459724,0.2377624936825328,0.30699879444748934,0.3426584132983085,0.4119309453440797,165.95465812338034
7,milenkosKitchenNotNearDevices1_7,5,1000.0,2.525521964994,1.1765631134610823,-0.89059997,1.7689999,2.3546,3.1964,6.0512,38.154865154,0.3771285923606747,36.612198,37.9176,38.1494,38.405598,39.528,-73.330832035,0.746137728946768,-79.141396,-73.7612,-73.322,-72.8462,-70.943,82.71190751557906,0.6362767014076574,80.78664606975586,82.28215360117693,82.67599439095184,83.10032955001468,87.48209445840227,0.0,0.0,0.0,0.0,1,3.6549099609275095,23.414424431893266,0.23113642519530142,0.2791760222657159,0.3371766629288456,0.40815166246200507,165.90772472334137
8,milenkosKitchenNotNearDevices1_8,5,1000.0,2.54923876638,1.1826912748512313,-3.5867999,1.7933999,2.4339,3.27265,5.7096,38.156585381999996,0.38891300703617987,36.112,37.9176,38.1372,38.405598,39.418198,-73.19016594,0.7493594575177036,-79.129196,-73.6392,-73.1634,-72.7242,-70.8454,82.58891844646712,0.6359330970788568,80.78664606975586,82.15915750233165,82.57235071874791,82.95832472570815,87.05384159891541,0.0,0.0,0.0,0.0,1,3.65079460544218,23.350561614172637,0.2186178326217547,0.29445096170058366,0.3423607077205587,0.3883026464183238,165.46108997645328
9,milenkosKitchenNotNearDevices1_9,5,1000.0,2.5291331640139996,1.1572623268649014,-3.5867999,1.8177999,2.44,3.233,5.6486,38.153254837,0.39835758977114316,36.112,37.9054,38.1494,38.4178,39.418198,-73.26198727799999,0.7430162478722726,-79.129196,-73.7124,-73.2732,-72.81875,-70.8454,82.65006892065136,0.6329495762402753,80.88329517574086,82.22711101238035,82.66128728016922,83.01739348017102,87.05384159891541,0.0,0.0,0.0,0.0,1,3.659820238752067,23.383380656877858,0.2182111585511848,0.3167525788088091,0.34697915154355596,0.38519755863392346,165.6976280074703
