,Name,Label,count,X_UnCal_mean,X_UnCal_std,X_UnCal_min,X_UnCal_25%,X_UnCal_50%,X_UnCal_75%,X_UnCal_max,Y_UnCal_mean,Y_UnCal_std,Y_UnCal_min,Y_UnCal_25%,Y_UnCal_50%,Y_UnCal_75%,Y_UnCal_max,Z_UnCal_mean,Z_UnCal_std,Z_UnCal_min,Z_UnCal_25%,Z_UnCal_50%,Z_UnCal_75%,Z_UnCal_max,Intensity_mean,Intensity_std,Intensity_min,Intensity_25%,Intensity_50%,Intensity_75%,Intensity_max,X_Bias,Y_Bias,Z_Bias,Bias_Intensity,Accuracy,fourier_mean,fourier_std,fourier_min,fourier_25%,fourier_50%,fourier_75%,fourier_max
0,milenkoParkWithTraffic,5,5998.0,-36.10182346132044,1.0978635513001416,-47.8728,-36.7952,-36.1852,-35.4044,-32.7814,57.87705353401134,0.3607807802015583,54.912197,57.6572,57.8768,58.1086,59.231,-77.58881794114704,0.7647683481228249,-84.131195,-77.9824,-77.5676,-77.128395,-75.335,103.31723004971462,0.7679474625272251,100.9953172072607,102.84584822335654,103.31556656128835,103.74656340342626,109.22845524650269,-17.414808,48.837105,-32.69565,61.29717686305291,1,5.0848952802305085,29.34486535337433,0.0,0.7549141674024638,0.8649792581710711,1.0902840074930806,208.42459939019383
1,milenkoParkWithTraffic1 ,5,5998.0,-36.10182346132044,1.0978635513001416,-47.8728,-36.7952,-36.1852,-35.4044,-32.7814,57.87705353401134,0.3607807802015583,54.912197,57.6572,57.8768,58.1086,59.231,-77.58881794114704,0.7647683481228249,-84.131195,-77.9824,-77.5676,-77.128395,-75.335,103.31723004971462,0.7679474625272251,100.9953172072607,102.84584822335654,103.31556656128835,103.74656340342626,109.22845524650269,-17.414808,48.837105,-32.69565,61.29717686305291,1,5.0848952802305085,29.34486535337433,0.0,0.7549141674024638,0.8649792581710711,1.0902840074930806,208.42459939019383
2,milenkosKitchenNotNearDevicesWithTraffic,5,5998.0,1.6039297844599867,1.136567258568438,-8.6254,0.90279996,1.525,2.2691998,5.0386,36.61196568922974,0.38383707400179745,34.2942,36.3682,36.612198,36.8562,38.015198,-74.51996269773257,0.7579290169186579,-81.471596,-74.944595,-74.5054,-74.054,-72.224,83.05319039130066,0.6436881849259447,80.86537329759878,82.64907581082849,83.02810053428237,83.40719582585444,88.66489104653557,-15.227382,46.57547,-33.300674,59.24594886698246,1,4.161973180209764,23.577162379077684,0.0,0.7433746977026634,0.7897803046660637,0.8894495896369881,167.53670392835153
3,milenkosKitchenNotNearDevicesWithTraffic1,5,5998.0,1.7144477894446482,1.1801944299738587,-9.308599,0.9882,1.6104,2.4278,5.0874,37.010762108536184,0.40213716604879857,34.7212,36.770798,37.0148,37.2588,38.5154,-74.65714049183062,0.8278619836469827,-82.8014,-75.0666,-74.6152,-74.175995,-72.0288,83.35567342833244,0.7041410922192071,81.08675644518037,82.9266523122693,83.31270082923416,83.71420957253733,89.91452474745111,-15.227382,46.57547,-33.300674,59.24594886698246,1,4.255180236469054,23.696071689956767,0.0,0.8015947588705882,0.8789611651122868,1.0222384459615026,168.45377818255497
4,milenkosRoomNearDevicesWithTraffic,5,5998.0,18.273901398216072,1.2086696671033756,9.076799,17.531399,18.239,19.0686,21.7526,51.57575363037679,0.4326640327025753,49.068398,51.313198,51.5816,51.862198,53.191998,-76.35662807485829,0.892177095657801,-83.5456,-76.7502,-76.311,-75.8474,-74.0662,93.94881297775467,0.6266932148411468,91.84245387129636,93.56731282493904,93.90821916957003,94.27625237161455,98.69918578101039,-19.871798,47.590263,-31.83421,60.60642222146159,1,4.58409767869271,26.688909061515037,0.0,0.7434322960285693,0.8077154400775562,0.8628961412248393,189.5245997393055
5,milenkosRoomNearDevicesWithTraffic1,5,5998.0,18.126673565355116,1.2652582587360777,10.6384,17.38805,18.0926,18.919150000000002,21.813599,51.43273008652884,0.4517274650998304,48.6414,51.179,51.4596,51.715797,52.9846,-76.44643578209403,0.9971050476018773,-84.5094,-76.823395,-76.3598,-75.9084,-73.9686,93.91640950542241,0.6829010210124205,91.59094809357526,93.49404301188582,93.86041235707863,94.23888366182135,99.37586589011846,-19.871798,47.590263,-31.83421,60.60642222146159,1,4.627524230968989,26.799436534430203,0.0,0.7418624207813188,0.8201193214456293,0.8789421793175581,190.3324737680652
6,milenkoParkWithTraffic,6,6002.0,-33.4557251077974,1.638925387939933,-54.4242,-33.794,-33.2206,-32.696,-25.973799,58.611701916194605,0.5011886014030243,53.07,58.3648,58.621,58.8894,66.917,-76.5338432557481,1.3070510322756457,-89.792,-76.921,-76.4452,-75.92365,-61.7808,102.05358195401246,1.3258527675846399,94.70686549629019,101.45206882625213,101.89983782782797,102.34484922310784,117.80570982465164,-17.414808,48.837105,-32.69565,61.29717686305291,1,5.334320932720359,29.96493255823818,0.6401570903095583,0.822381597527482,0.9189562206726068,1.1427889813317114,212.94379460344607
7,milenkoParkWithTraffic1 ,6,6002.0,-33.4557251077974,1.638925387939933,-54.4242,-33.794,-33.2206,-32.696,-25.973799,58.611701916194605,0.5011886014030243,53.07,58.3648,58.621,58.8894,66.917,-76.5338432557481,1.3070510322756457,-89.792,-76.921,-76.4452,-75.92365,-61.7808,102.05358195401246,1.3258527675846399,94.70686549629019,101.45206882625213,101.89983782782797,102.34484922310784,117.80570982465164,-17.414808,48.837105,-32.69565,61.29717686305291,1,5.334320932720359,29.96493255823818,0.6401570903095583,0.822381597527482,0.9189562206726068,1.1427889813317114,212.94379460344607
8,milenkosKitchenNotNearDevicesWithTraffic,6,5998.0,4.335765638303268,2.052636774550576,-18.226799,4.1602,4.8556,5.368,8.113,36.952074769756585,0.5907693171482723,31.2808,36.7342,37.027,37.2954,39.881798,-73.51440850483495,1.6939076501981476,-86.8152,-73.7856,-73.224396,-72.6632,-68.9544,82.42736528227097,1.3353319451091323,79.04743438087048,81.73688585416281,82.19656360503795,82.67793146763586,94.06159472104649,-15.227382,46.57547,-33.300674,59.24594886698246,1,4.649688617472386,24.365878120743854,0.0,0.9928519294662314,1.0533676785778252,1.3192507217166864,173.45536959245226
9,milenkosKitchenNotNearDevicesWithTraffic1,6,6001.0,4.770478464369606,1.8347718865584177,-10.9312,4.3798,5.2948,5.8315997,9.516,37.54115203099484,0.5504598747542218,34.196598,37.271,37.6126,37.881,43.4076,-73.75605365922345,1.3734979412960098,-87.9864,-74.1028,-73.553795,-73.077995,-59.1212,82.92431088820393,1.0792749953005032,72.56844380775985,82.3885005259836,82.77907141918193,83.20076836832698,95.33013564216931,-15.227382,46.57547,-33.300674,59.24594886698246,1,4.55919439070618,24.10693042447584,0.7022973534500131,0.9550525918591053,1.0572176309093555,1.1948071357887842,171.5944001218491
