,X_AWARE,Y_AWARE,Z_AWARE,time_AWARE
0,13.822599411010742,-16.140600204467773,-31.610198974609375,1669601594886.0
1,18.263399124145508,-16.116199493408203,-28.15760040283203,1669601595047.0
2,19.20279884338379,-16.067399978637695,-27.950199127197266,1669601595207.0
3,20.19099998474121,-15.90880012512207,-27.071800231933594,1669601595367.0
4,19.031999588012695,-16.652999877929688,-28.77979850769043,1669601595528.0
5,16.982398986816406,-16.738399505615234,-28.352800369262695,1669601595686.0
6,19.995800018310547,-16.079599380493164,-26.278799057006836,1669601595847.0
7,24.13159942626953,-15.408599853515625,-26.327598571777344,1669601596007.0
8,25.998199462890625,-14.883999824523926,-25.77859878540039,1669601596167.0
9,24.058399200439453,-15.957599639892578,-27.41339874267578,1669601596327.0
10,21.54520034790039,-16.396799087524414,-29.18239974975586,1669601596487.0
11,19.21500015258789,-16.518798828125,-31.012399673461914,1669601596646.0
12,23.13119888305664,-15.945399284362793,-28.962799072265625,1669601596807.0
13,25.131999969482422,-15.56719970703125,-27.49880027770996,1669601596968.0
14,25.680999755859375,-15.469599723815918,-27.09619903564453,1669601597128.0
15,25.095399856567383,-15.859999656677246,-28.48699951171875,1669601597288.0
16,25.070999145507812,-15.847799301147461,-28.52359962463379,1669601597448.0
17,25.668800354003906,-15.530599594116211,-27.401199340820312,1669601597607.0
18,24.58300018310547,-15.8843994140625,-28.743200302124023,1669601597767.0
19,25.010000228881836,-15.896599769592285,-27.47439956665039,1669601597928.0
20,25.571199417114258,-16.140600204467773,-27.291399002075195,1669601598089.0
21,19.971399307250977,-17.104398727416992,-31.012399673461914,1669601598249.0
22,21.80139923095703,-16.738399505615234,-30.304800033569336,1669601598407.0
23,23.582599639892578,-16.104000091552734,-29.597198486328125,1669601598568.0
24,21.618398666381836,-16.421199798583984,-30.13399887084961,1669601598727.0
25,17.360599517822266,-18.87339973449707,-30.658599853515625,1669601598889.0
26,24.912399291992188,-15.347599983215332,-28.80419921875,1669601599048.0
27,24.094999313354492,-13.676199913024902,-29.18239974975586,1669601599208.0
28,22.374799728393555,-19.666399002075195,-28.011199951171875,1669601599368.0
29,22.83839988708496,-21.789199829101562,-26.742399215698242,1669601599528.0
30,23.81439971923828,-22.240598678588867,-24.44879913330078,1669601599687.0
31,23.045799255371094,-21.789199829101562,-22.996999740600586,1669601599847.0
32,22.88719940185547,-23.655799865722656,-26.034799575805664,1669601600008.0
33,23.619199752807617,-23.899799346923828,-25.21739959716797,1669601600167.0
34,26.608200073242188,-23.387399673461914,-24.277999877929688,1669601600329.0
35,27.022998809814453,-22.8627986907959,-22.655399322509766,1669601600487.0
36,24.48539924621582,-23.729000091552734,-25.022199630737305,1669601600647.0
