,X_AWARE,Y_AWARE,Z_AWARE,time_AWARE
0,346.739990234375,-403.1999816894531,-315.7200012207031,1669596304375.0
1,346.2599792480469,-402.6000061035156,-316.32000732421875,1669596304532.0
2,345.9599914550781,-402.41998291015625,-316.67999267578125,1669596304691.0
3,345.47998046875,-402.1199951171875,-316.97998046875,1669596304851.0
4,345.29998779296875,-401.8800048828125,-317.82000732421875,1669596305010.0
5,345.8399963378906,-401.6399841308594,-318.29998779296875,1669596305170.0
6,345.8999938964844,-401.2799987792969,-318.53997802734375,1669596305330.0
7,345.8999938964844,-400.8599853515625,-319.3800048828125,1669596305490.0
8,345.7200012207031,-400.739990234375,-319.1999816894531,1669596305650.0
9,345.7799987792969,-401.03997802734375,-318.8399963378906,1669596305810.0
10,345.9599914550781,-401.1600036621094,-318.6600036621094,1669596305970.0
11,346.5,-401.4599914550781,-317.94000244140625,1669596306130.0
12,346.55999755859375,-401.3999938964844,-317.94000244140625,1669596306289.0
13,346.3800048828125,-401.2799987792969,-317.8800048828125,1669596306449.0
14,346.2599792480469,-401.5799865722656,-318.29998779296875,1669596306609.0
15,346.1399841308594,-401.3999938964844,-318.3599853515625,1669596306769.0
16,346.32000732421875,-401.6399841308594,-318.239990234375,1669596306929.0
17,346.739990234375,-402.0,-317.6999816894531,1669596307088.0
18,347.3399963378906,-402.29998779296875,-316.0799865722656,1669596307248.0
19,348.05999755859375,-403.6199951171875,-314.6399841308594,1669596307408.0
20,348.41998291015625,-403.91998291015625,-313.8599853515625,1669596307568.0
21,348.53997802734375,-404.2799987792969,-313.3800048828125,1669596307728.0
22,348.47998046875,-404.3999938964844,-313.67999267578125,1669596307888.0
23,347.94000244140625,-403.79998779296875,-314.2200012207031,1669596308048.0
24,347.8800048828125,-403.8599853515625,-314.1600036621094,1669596308207.0
25,347.7599792480469,-403.79998779296875,-314.3399963378906,1669596308367.0
26,348.0,-403.3800048828125,-314.94000244140625,1669596308527.0
27,348.17999267578125,-402.9599914550781,-315.8999938964844,1669596308688.0
28,347.7599792480469,-402.8399963378906,-316.1399841308594,1669596308847.0
29,347.03997802734375,-402.41998291015625,-317.5199890136719,1669596309007.0
30,346.55999755859375,-402.1199951171875,-317.3999938964844,1669596309168.0
31,346.0199890136719,-402.17999267578125,-316.8599853515625,1669596309326.0
32,346.55999755859375,-401.6399841308594,-317.2200012207031,1669596309494.0
33,346.55999755859375,-401.8800048828125,-316.79998779296875,1669596309646.0
34,346.67999267578125,-402.05999755859375,-317.5799865722656,1669596309806.0
35,346.97998046875,-402.239990234375,-318.05999755859375,1669596309966.0
36,346.6199951171875,-402.6000061035156,-317.8800048828125,1669596310126.0
37,346.79998779296875,-402.29998779296875,-317.8800048828125,1669596310286.0
38,346.739990234375,-401.6999816894531,-317.94000244140625,1669596310446.0
39,346.8599853515625,-400.97998046875,-318.17999267578125,1669596310605.0
40,346.67999267578125,-400.6199951171875,-318.239990234375,1669596310765.0
41,346.79998779296875,-400.8599853515625,-318.0,1669596310925.0
42,345.6600036621094,-401.6399841308594,-317.5199890136719,1669596311086.0
43,343.0199890136719,-402.1199951171875,-317.94000244140625,1669596311245.0
44,342.7799987792969,-401.94000244140625,-317.8800048828125,1669596311405.0
45,343.32000732421875,-399.8999938964844,-317.8800048828125,1669596311565.0
46,344.5199890136719,-398.8199768066406,-317.82000732421875,1669596311725.0
47,346.97998046875,-399.3599853515625,-316.5,1669596311885.0
48,347.1600036621094,-400.3199768066406,-316.32000732421875,1669596312045.0
49,346.8599853515625,-403.55999755859375,-314.94000244140625,1669596312204.0
50,346.32000732421875,-405.9599914550781,-313.97998046875,1669596312366.0
51,346.91998291015625,-406.91998291015625,-312.8399963378906,1669596312524.0
52,347.5199890136719,-407.7599792480469,-312.3599853515625,1669596312684.0
53,347.82000732421875,-407.3399963378906,-312.7200012207031,1669596312844.0
54,348.3599853515625,-406.91998291015625,-312.9599914550781,1669596313004.0
55,347.3999938964844,-406.3199768066406,-314.2799987792969,1669596313164.0
56,347.03997802734375,-405.41998291015625,-314.7599792480469,1669596313324.0
57,346.0199890136719,-405.53997802734375,-315.6600036621094,1669596313484.0
58,345.47998046875,-405.239990234375,-316.0199890136719,1669596313643.0
59,345.7200012207031,-404.8800048828125,-315.9599914550781,1669596313803.0
60,346.1399841308594,-405.29998779296875,-315.6000061035156,1669596313965.0
61,347.1000061035156,-405.53997802734375,-314.3999938964844,1669596314123.0
62,347.5799865722656,-406.0799865722656,-313.5,1669596314283.0
63,347.94000244140625,-406.739990234375,-313.0799865722656,1669596314443.0
64,347.6999816894531,-406.8599853515625,-312.7799987792969,1669596314603.0
65,347.5199890136719,-406.67999267578125,-312.6000061035156,1669596314764.0
66,347.5199890136719,-407.2200012207031,-312.29998779296875,1669596314922.0
67,347.3999938964844,-407.8199768066406,-312.0,1669596315082.0
68,347.6999816894531,-408.1199951171875,-311.82000732421875,1669596315243.0
69,347.82000732421875,-408.6000061035156,-311.82000732421875,1669596315402.0
70,347.6999816894531,-407.5799865722656,-312.7200012207031,1669596315563.0
71,347.7599792480469,-406.2599792480469,-313.0199890136719,1669596315722.0
72,347.2799987792969,-405.8999938964844,-313.6199951171875,1669596315883.0
73,346.79998779296875,-405.3599853515625,-314.5199890136719,1669596316042.0
74,346.739990234375,-405.6000061035156,-313.79998779296875,1669596316201.0
75,346.55999755859375,-405.9599914550781,-313.5,1669596316361.0
76,346.8599853515625,-405.6600036621094,-313.3800048828125,1669596316521.0
77,347.1600036621094,-405.29998779296875,-312.9599914550781,1669596316681.0
78,347.3399963378906,-405.3599853515625,-313.55999755859375,1669596316841.0
79,347.5199890136719,-405.0,-313.739990234375,1669596317000.0
80,347.5799865722656,-404.94000244140625,-313.6199951171875,1669596317162.0
81,347.5199890136719,-405.17999267578125,-313.8599853515625,1669596317320.0
82,347.4599914550781,-405.3599853515625,-313.739990234375,1669596317480.0
83,347.6399841308594,-405.47998046875,-313.67999267578125,1669596317640.0
84,346.3800048828125,-405.8999938964844,-314.1000061035156,1669596317800.0
85,345.05999755859375,-405.7200012207031,-314.5199890136719,1669596317961.0
86,344.3999938964844,-405.1199951171875,-315.8999938964844,1669596318120.0
87,343.0199890136719,-405.3599853515625,-316.97998046875,1669596318280.0
88,342.8399963378906,-404.8800048828125,-317.5199890136719,1669596318440.0
89,343.1399841308594,-404.8800048828125,-317.7599792480469,1669596318599.0
90,342.7200012207031,-404.6399841308594,-317.5799865722656,1669596318759.0
91,343.0199890136719,-404.8800048828125,-317.3999938964844,1669596318919.0
92,343.67999267578125,-404.6399841308594,-317.7599792480469,1669596319080.0
93,343.2599792480469,-404.2799987792969,-317.7599792480469,1669596319239.0
94,343.91998291015625,-404.2200012207031,-317.5199890136719,1669596319398.0
95,343.91998291015625,-403.5,-317.3999938964844,1669596319558.0
96,343.67999267578125,-403.0799865722656,-316.55999755859375,1669596319718.0
97,344.2200012207031,-403.1399841308594,-316.739990234375,1669596319878.0
98,343.97998046875,-403.3199768066406,-317.2200012207031,1669596320038.0
99,344.1000061035156,-403.6199951171875,-317.5799865722656,1669596320198.0
100,344.4599914550781,-403.6199951171875,-318.1199951171875,1669596320357.0
101,344.6999816894531,-403.8599853515625,-317.82000732421875,1669596320517.0
102,344.7599792480469,-403.6199951171875,-317.1600036621094,1669596320677.0
103,344.6999816894531,-403.55999755859375,-317.03997802734375,1669596320839.0
104,344.6999816894531,-403.67999267578125,-316.8599853515625,1669596320997.0
105,344.6999816894531,-403.55999755859375,-316.8599853515625,1669596321157.0
106,344.4599914550781,-403.67999267578125,-317.2200012207031,1669596321316.0
107,345.05999755859375,-403.97998046875,-316.97998046875,1669596321477.0
108,345.05999755859375,-403.79998779296875,-317.03997802734375,1669596321636.0
109,345.239990234375,-403.67999267578125,-316.91998291015625,1669596321796.0
110,345.239990234375,-403.5,-316.8599853515625,1669596321956.0
111,345.0,-403.3800048828125,-317.03997802734375,1669596322115.0
112,345.17999267578125,-403.44000244140625,-316.91998291015625,1669596322276.0
113,344.6399841308594,-403.2599792480469,-316.97998046875,1669596322436.0
114,344.7599792480469,-403.5,-316.97998046875,1669596322595.0
115,344.6999816894531,-403.1399841308594,-316.67999267578125,1669596322756.0
116,344.3399963378906,-402.6600036621094,-317.1600036621094,1669596322915.0
117,344.4599914550781,-403.0199890136719,-317.5799865722656,1669596323075.0
118,344.6399841308594,-403.0199890136719,-317.5199890136719,1669596323234.0
119,344.3399963378906,-402.9599914550781,-318.0,1669596323394.0
120,344.6399841308594,-403.67999267578125,-317.7599792480469,1669596323554.0
121,344.5799865722656,-403.8599853515625,-317.4599914550781,1669596323714.0
122,344.5199890136719,-403.739990234375,-317.7599792480469,1669596323874.0
