,X_AWARE,Y_AWARE,Z_AWARE,time_AWARE
0,350.2200012207031,-403.6199951171875,-311.03997802734375,1669595283121.0
1,350.5199890136719,-403.67999267578125,-310.79998779296875,1669595283281.0
2,350.1000061035156,-403.6199951171875,-310.8599853515625,1669595283441.0
3,349.1399841308594,-403.3199768066406,-311.2200012207031,1669595283601.0
4,349.8599853515625,-403.0799865722656,-310.1999816894531,1669595283761.0
5,350.8800048828125,-402.9599914550781,-309.17999267578125,1669595283920.0
6,351.7200012207031,-402.7799987792969,-308.5199890136719,1669595284080.0
7,352.79998779296875,-402.47998046875,-307.79998779296875,1669595284240.0
8,351.239990234375,-402.1199951171875,-308.94000244140625,1669595284400.0
9,349.44000244140625,-401.4599914550781,-310.0799865722656,1669595284560.0
10,348.8399963378906,-400.55999755859375,-311.03997802734375,1669595284719.0
11,348.239990234375,-400.3800048828125,-310.8599853515625,1669595284879.0
12,349.32000732421875,-400.3199768066406,-310.739990234375,1669595285039.0
13,349.8599853515625,-399.9599914550781,-310.67999267578125,1669595285199.0
14,349.44000244140625,-400.1999816894531,-310.32000732421875,1669595285358.0
15,350.1600036621094,-400.0799865722656,-310.44000244140625,1669595285518.0
16,349.6199951171875,-399.8399963378906,-310.0199890136719,1669595285677.0
17,349.1999816894531,-400.1999816894531,-310.1399841308594,1669595285837.0
18,348.41998291015625,-399.7799987792969,-311.2799987792969,1669595285997.0
19,347.03997802734375,-399.47998046875,-312.53997802734375,1669595286157.0
20,346.0199890136719,-399.17999267578125,-313.3800048828125,1669595286298.0
21,345.29998779296875,-398.3399963378906,-314.5199890136719,1669595286460.0
22,345.53997802734375,-398.2799987792969,-314.3399963378906,1669595286619.0
23,345.7799987792969,-398.2799987792969,-314.1600036621094,1669595286787.0
24,346.3800048828125,-398.7599792480469,-314.2200012207031,1669595286939.0
25,346.67999267578125,-399.7799987792969,-312.9599914550781,1669595287099.0
26,346.8599853515625,-400.2599792480469,-312.1199951171875,1669595287259.0
27,347.2799987792969,-400.3800048828125,-311.7599792480469,1669595287418.0
28,347.7599792480469,-399.0,-310.91998291015625,1669595287578.0
29,347.3399963378906,-397.6199951171875,-311.8800048828125,1669595287738.0
30,345.7200012207031,-395.8199768066406,-312.7799987792969,1669595287898.0
31,343.55999755859375,-394.2599792480469,-313.3800048828125,1669595288058.0
32,341.5799865722656,-393.8399963378906,-314.1600036621094,1669595288218.0
33,341.3999938964844,-393.47998046875,-314.3399963378906,1669595288377.0
34,342.17999267578125,-393.7799987792969,-314.1000061035156,1669595288537.0
35,342.6600036621094,-394.79998779296875,-314.2799987792969,1669595288697.0
36,343.0799865722656,-395.4599914550781,-314.6999816894531,1669595288857.0
37,342.6600036621094,-395.6999816894531,-314.8800048828125,1669595289017.0
38,342.47998046875,-396.05999755859375,-314.6999816894531,1669595289177.0
39,343.0799865722656,-395.6999816894531,-314.5199890136719,1669595289337.0
40,343.0799865722656,-395.7599792480469,-314.2799987792969,1669595289496.0
41,343.44000244140625,-395.6999816894531,-313.91998291015625,1669595289659.0
42,343.55999755859375,-395.5799865722656,-314.3399963378906,1669595289816.0
43,342.8399963378906,-395.6999816894531,-314.4599914550781,1669595289977.0
