,X_AWARE,Y_AWARE,Z_AWARE,time_AWARE
0,-16.970199584960938,3.4403998851776123,-44.93259811401367,1671096442511.0
1,-14.176400184631348,3.8673999309539795,-42.23640060424805,1671096442712.0
2,-14.469200134277344,3.4526000022888184,-41.870399475097656,1671096442912.0
3,-15.201199531555176,3.3306000232696533,-43.212398529052734,1671096443111.0
4,-15.615999221801758,3.7941999435424805,-43.10260009765625,1671096443312.0
5,-15.847799301147461,3.4038000106811523,-43.322200775146484,1671096443512.0
6,-13.602999687194824,4.160200119018555,-42.06559753417969,1671096443712.0
7,-14.798599243164062,4.0503997802734375,-42.72439956665039,1671096443911.0
8,-20.044599533081055,2.427799940109253,-47.78739929199219,1671096444111.0
9,-32.28120040893555,0.3659999966621399,-53.55799865722656,1671096444311.0
10,-21.48419952392578,2.354599952697754,-46.665000915527344,1671096444512.0
11,-17.824199676513672,3.3062000274658203,-44.590999603271484,1671096444711.0
12,-18.385398864746094,2.671799898147583,-45.969600677490234,1671096444911.0
13,-17.750999450683594,3.4769999980926514,-43.883399963378906,1671096445111.0
14,-18.970998764038086,2.110599994659424,-46.420997619628906,1671096445312.0
15,-17.7997989654541,2.500999927520752,-45.44499969482422,1671096445511.0
16,-16.16499900817871,3.3550000190734863,-44.090797424316406,1671096445712.0
17,-14.713199615478516,3.6599998474121094,-42.5536003112793,1671096445912.0
18,-14.10319995880127,4.538399696350098,-42.96839904785156,1671096446112.0
19,-14.444799423217773,4.1967997550964355,-43.06599807739258,1671096446312.0
20,-14.76200008392334,3.7575998306274414,-42.39500045776367,1671096446512.0
21,-14.517999649047852,4.0381999015808105,-41.833797454833984,1671096446712.0
22,-15.298799514770508,3.5623998641967773,-42.17539978027344,1671096446911.0
23,-13.93239974975586,3.8551998138427734,-42.11439895629883,1671096447113.0
24,-14.322799682617188,3.5257999897003174,-45.176597595214844,1671096447312.0
25,-14.810799598693848,3.8307998180389404,-43.68819808959961,1671096447512.0
26,-16.140600204467773,2.952399969100952,-43.98099899291992,1671096447712.0
27,-19.617599487304688,2.0495998859405518,-48.4827995300293,1671096447912.0
28,-14.225199699401855,3.8429999351501465,-43.17580032348633,1671096448113.0
29,-14.456999778747559,3.4159998893737793,-44.529998779296875,1671096448314.0
30,-14.993800163269043,3.6355998516082764,-44.79840087890625,1671096448512.0
31,-14.90839958190918,5.392399787902832,-41.7239990234375,1671096448711.0
32,-14.603399276733398,4.0991997718811035,-42.06559753417969,1671096448913.0
33,-15.420799255371094,3.5135998725891113,-42.785400390625,1671096449113.0
34,-13.40779972076416,4.623799800872803,-41.05299758911133,1671096449312.0
35,-14.21299934387207,4.294399738311768,-44.23719787597656,1671096449513.0
36,-13.871399879455566,3.9405999183654785,-42.931800842285156,1671096449712.0
37,-14.652199745178223,3.5867998600006104,-42.504798889160156,1671096449911.0
38,-15.762399673461914,3.9284000396728516,-43.06599807739258,1671096450112.0
39,-16.652999877929688,3.1598000526428223,-47.03099822998047,1671096450312.0
40,-18.678199768066406,2.415600061416626,-50.154197692871094,1671096450512.0
41,-18.763599395751953,2.488800048828125,-50.581199645996094,1671096450711.0
42,-17.88520050048828,3.049999952316284,-49.7515983581543,1671096450913.0
43,-18.641599655151367,2.842599868774414,-50.43479919433594,1671096451111.0
44,-17.153200149536133,2.61080002784729,-49.458797454833984,1671096451313.0
45,-16.042999267578125,3.7331998348236084,-44.847198486328125,1671096451511.0
46,-16.56760025024414,3.171999931335449,-48.66579818725586,1671096451712.0
47,-21.80139923095703,2.269199848175049,-49.73939895629883,1671096451911.0
48,-18.763599395751953,2.452199935913086,-49.59299850463867,1671096452112.0
49,-16.799400329589844,2.866999864578247,-50.67879867553711,1671096452313.0
50,-16.469999313354492,3.5989999771118164,-45.579200744628906,1671096452512.0
51,-17.970600128173828,2.915799856185913,-49.84919738769531,1671096452713.0
52,-17.506999969482422,2.232599973678589,-49.190399169921875,1671096452912.0
53,-17.54360008239746,2.330199956893921,-50.764198303222656,1671096453113.0
54,-17.458200454711914,2.293599843978882,-50.837398529052734,1671096453312.0
55,-18.25119972229004,2.171599864959717,-51.30099868774414,1671096453513.0
56,-17.83639907836914,2.330199956893921,-50.95940017700195,1671096453712.0
57,-17.48259925842285,2.549799919128418,-50.72760009765625,1671096453912.0
58,-17.5679988861084,2.915799856185913,-50.37379837036133,1671096454111.0
59,-16.347999572753906,3.2207999229431152,-47.6776008605957,1671096454311.0
60,-17.26300048828125,3.1842000484466553,-45.73780059814453,1671096454511.0
61,-18.434200286865234,3.1842000484466553,-47.36039733886719,1671096454711.0
62,-20.312999725341797,2.0739998817443848,-50.30059814453125,1671096454911.0
63,-23.9242000579834,1.3176000118255615,-52.850399017333984,1671096455111.0
64,-27.876998901367188,1.4151999950408936,-50.520198822021484,1671096455311.0
65,-34.586997985839844,-0.9882000088691711,-54.2411994934082,1671096455511.0
66,-28.07219886779785,1.7689999341964722,-54.63159942626953,1671096455711.0
67,-29.42639923095703,0.5733999609947205,-55.26599884033203,1671096455911.0
68,-26.327598571777344,1.073599934577942,-53.39939880371094,1671096456112.0
69,-26.388599395751953,0.6100000143051147,-52.899200439453125,1671096456311.0
70,-31.48819923400879,0.3659999966621399,-56.04679870605469,1671096456511.0
71,-29.46299934387207,1.3420000076293945,-55.29039764404297,1671096456712.0
72,-23.985198974609375,1.6103999614715576,-54.436397552490234,1671096456911.0
73,-26.12019920349121,0.7807999849319458,-54.20459747314453,1671096457111.0
74,-23.777799606323242,1.354200005531311,-51.32539749145508,1671096457311.0
75,-26.91320037841797,0.8173999786376953,-54.94879913330078,1671096457511.0
76,-28.121000289916992,1.0857999324798584,-52.38679885864258,1671096457711.0
77,-26.242198944091797,0.9759999513626099,-52.76499938964844,1671096457912.0
